"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Mod.ID","deltaAIC","Weight","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi"
"MEFE",21,26,15,"No","Avg",NA,NA,NA,NA,-5.0426145721853,0.00413879861665229,-1.53914866533793e-06,-3.45291575818592,0.005659461617032,-2.41218051471733e-06,0,0,0,0,0,0
"OPHO",21,29,14,"No","Unavg","Mod.15",1.88863656623556,0.280028895376841,0.126933644561488,-1.65345837503652,0.00155536228105564,-2.44777163463573e-06,-2.38790003897378,0.00206009185771044,NA,NA,NA,NA,NA,NA,NA
"OPHO",21,29,14,"No","Unavg","Mod.31",0,0.719971104623159,0.13879646780347,-0.476694350705112,-0.0016114923381836,-6.02477747479204e-07,-7.30806074391323,0.0140091142390874,-6.48827876394889e-06,NA,NA,NA,NA,NA,NA
"OPHO",21,29,14,"No","Avg",NA,NA,NA,NA,-0.806222280557841,-0.000724681537338989,-1.11921335634528e-06,-5.9302735766325,0.0106630427007973,-4.67137322878327e-06,0,0,0,0,0,0
"PAMY",21,127,94,"Yes","Unavg","Mod.7",0,1,0.0486643292994771,-1.90090349689814,0.00359786456819966,-1.91320572575769e-06,NA,NA,NA,0.193238791853188,-0.517592236837902,NA,NA,NA,NA
"PAMY",21,127,94,"Yes","Avg",NA,NA,NA,NA,-1.90090349689814,0.00359786456819966,-1.91320572575769e-06,0,0,0,0.193238791853188,-0.517592236837902,0,0,0,0
"PHEM",21,61,52,"No","Unavg","Mod.6",0,0.57580117891205,0.456259651285178,-35.6479601834777,0.0386159243055509,-1.03260989836666e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHEM",21,61,52,"No","Unavg","Mod.7",0.611120325249033,0.42419882108795,0.458458953485131,-35.6144384690671,0.0387425626530265,-1.0358623079313e-05,-0.309050363352432,NA,NA,NA,NA,NA,NA,NA,NA
"PHEM",21,61,52,"No","Avg",NA,NA,NA,NA,-35.6337403117439,0.0386696441432546,-1.03398956666967e-05,-0.131098799790904,0,0,0,0,0,0,0,0
"POMU",21,20,8,"No","Unavg","Mod.11",1.97341294706374,0.213777827933569,0.206094624795446,0.413223879817696,-0.00406927092034921,NA,-1.19152894748126,0.00028768707931826,NA,NA,NA,NA,NA,NA,NA
"POMU",21,20,8,"No","Unavg","Mod.3",0,0.57343452464397,0.205982944503724,0.358035396441084,-0.00398051722900964,NA,-1.0168593149573,NA,NA,NA,NA,NA,NA,NA,NA
"POMU",21,20,8,"No","Unavg","Mod.7",1.98269810816379,0.212787647422461,0.206055621995744,0.476657739334927,-0.00433581800695516,2.27972481387209e-07,-1.01865082080579,NA,NA,NA,NA,NA,NA,NA,NA
