"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi"
"ACGL",11,15,13,"No","Unavg",0.0613688073155344,-3.70461635516685,-30.7832588030559,-17.2554815114128,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACMI",11,10,22,"Yes","Unavg",0.120142829883801,-3.66877491294765,-11.9687996511321,NA,NA,NA,NA,2.6725970911922,0.210898268520786,6.05897559257435,29.2754282404173,NA,NA
"AMAL",11,42,41,"No","Unavg",0.1167134474182,-2.79620524644098,-43.6986986857439,-20.8160425754153,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",11,42,29,"Yes","Unavg",0.045040578345536,-2.25511039904564,-20.4529991914051,-7.09099259288284,NA,NA,NA,0.311181289252994,-0.332549569953851,2.18724970739141,22.2759953944097,NA,NA
"ATFI",11,24,29,"No","Unavg",0.0781441495980774,-2.98945728714526,-30.8352592914426,-9.81603989606691,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAME",11,32,31,"No","Unavg",0.391778289965179,-7.4894818784658,150.742042599352,-34.3818779918964,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARU",11,33,20,"Yes","Unavg",0.0523172408279667,-2.50496088957703,-14.6633533735412,-14.8574668976031,NA,NA,NA,0.389162039163106,-0.684869399111685,NA,NA,NA,NA
"CEVE",11,26,20,"Yes","Unavg",0.112273061566078,-2.87662266281366,-11.8177208543003,-23.9399642647109,NA,NA,NA,1.81836077931271,-0.827422570380621,NA,NA,NA,NA
"CHUM",11,61,48,"No","Unavg",0.147327442582712,-2.7129404879717,-52.5746658918351,-30.2534509926109,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLUN",11,44,51,"No","Unavg",0.14199855247219,-2.8773171860343,-45.7018310950239,-40.948618148873,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COCA",11,20,24,"No","Unavg",0.106667021452712,-3.6731253870331,-49.5599077556878,-21.8943422617504,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EPAN",11,18,24,"Yes","Unavg",0.120247709610187,-3.21321535715349,-1.14033777986441,-22.4971791573538,NA,NA,NA,2.07345262711165,-0.191070649024338,-29.4968626669671,6.97863618316209,NA,NA
"GAOV",11,11,10,"No","Unavg",0.0999685696155371,-4.34591421327045,-10.1772393234638,-45.8014679210231,NA,NA,NA,NA,NA,NA,NA,NA,NA
